"match_date_weekday_id","match_date_day","match_date_month_id","match_date_year","home_team_name_id","away_team_name_id","home_team_goal","away_team_goal"
3,"1",2,"2016",20,27,"1","0"
3,"21",2,"2017",20,11,"3","1"
3,"1",1,"2017",24,23,"4","1"
3,"30",4,"2018",6,22,"1","1"
4,"20",10,"2018",15,16,"3","2"
6,"1",8,"2016",26,4,"0","2"
4,"26",9,"2016",10,1,"0","3"
3,"19",7,"2017",18,4,"0","4"
7,"22",4,"2015",20,13,"2","1"
6,"2",3,"2016",3,13,"0","4"
3,"6",5,"2016",13,28,"4","0"
6,"8",10,"2015",16,5,"1","0"
7,"17",8,"2017",8,18,"1","1"
6,"16",4,"2017",8,2,"0","3"
6,"22",8,"2016",17,6,"0","0"
3,"6",4,"2015",17,8,"0","3"
2,"3",1,"2018",17,5,"0","2"
3,"2",4,"2018",8,6,"2","0"
4,"2",1,"2017",20,2,"2","0"
6,"23",9,"2017",1,16,"0","1"
6,"19",9,"2015",22,6,"1","2"
3,"3",4,"2017",19,17,"2","1"
7,"27",4,"2016",24,25,"1","0"
6,"17",8,"2015",13,3,"5","1"
1,"11",2,"2017",1,20,"0","2"
2,"27",4,"2017",3,10,"3","3"
4,"22",10,"2016",10,3,"1","0"
3,"3",1,"2016",20,22,"1","0"
1,"1",6,"2018",13,18,"3","0"
3,"4",7,"2018",21,8,"0","1"
6,"6",8,"2018",8,11,"1","2"
3,"15",1,"2017",17,20,"0","4"
2,"30",1,"2019",9,10,"3","0"
3,"19",7,"2017",8,13,"0","2"
4,"3",9,"2018",6,5,"2","1"
2,"30",1,"2019",22,13,"2","1"
4,"12",7,"2018",20,9,"1","1"
4,"6",7,"2017",11,6,"3","2"
6,"4",7,"2017",19,8,"2","2"
3,"13",2,"2018",22,4,"3","0"
6,"15",9,"2018",4,21,"4","1"
3,"1",7,"2015",13,27,"2","1"
3,"28",6,"2016",16,20,"3","2"
6,"17",9,"2016",18,10,"4","2"
6,"24",8,"2015",8,2,"1","0"
3,"8",7,"2015",8,6,"2","1"
3,"10",3,"2016",23,8,"0","2"
4,"24",4,"2018",11,5,"2","6"
3,"20",5,"2016",1,7,"3","2"
6,"12",9,"2015",20,19,"2","0"
6,"30",9,"2017",18,6,"2","2"
4,"9",7,"2015",7,2,"1","2"
3,"12",6,"2017",10,18,"2","2"
3,"2",3,"2017",1,3,"0","0"
3,"13",2,"2018",17,19,"1","2"
6,"28",8,"2017",6,19,"0","1"
3,"19",5,"2017",10,8,"2","3"
6,"31",5,"2018",10,1,"3","0"
3,"30",4,"2018",8,21,"0","1"
6,"11",10,"2018",14,2,"0","2"
6,"10",6,"2018",5,20,"1","0"
3,"11",7,"2018",8,24,"0","0"
4,"23",7,"2015",5,10,"4","1"
3,"27",7,"2016",6,19,"0","1"
3,"16",9,"2018",6,16,"1","2"
1,"14",1,"2016",17,23,"2","4"
6,"24",9,"2016",19,18,"1","1"
4,"15",10,"2016",20,7,"3","4"
6,"28",8,"2017",20,17,"2","1"
1,"14",4,"2017",16,3,"1","0"
7,"19",4,"2017",11,17,"3","1"
3,"12",6,"2017",25,11,"0","0"
7,"9",2,"2017",4,25,"3","0"
2,"5",4,"2018",3,12,"2","1"
3,"15",1,"2017",23,19,"1","3"
6,"13",2,"2017",13,8,"2","1"
3,"12",6,"2017",24,4,"1","1"
2,"2",5,"2016",27,4,"1","2"
6,"17",4,"2016",2,4,"0","1"
1,"14",1,"2016",7,20,"3","3"
3,"6",5,"2016",17,27,"1","0"
1,"14",4,"2017",10,20,"0","0"
3,"22",3,"2018",20,10,"4","1"
7,"26",9,"2017",20,18,"2","0"
4,"7",4,"2015",22,7,"2","0"
3,"14",2,"2017",10,7,"0","4"
6,"22",8,"2016",3,5,"0","0"
3,"15",1,"2017",24,1,"1","0"
3,"19",5,"2017",19,4,"1","2"
6,"9",9,"2017",20,3,"3","0"
6,"10",5,"2018",16,7,"2","1"
1,"6",4,"2018",24,7,"1","3"
2,"3",6,"2016",18,17,"1","1"
6,"20",10,"2016",17,26,"0","2"
6,"12",10,"2017",6,7,"3","3"
3,"1",8,"2017",11,24,"0","1"
6,"26",9,"2015",19,3,"2","1"
4,"11",3,"2016",7,19,"4","1"
3,"17",4,"2017",15,24,"0","0"
6,"14",8,"2017",7,16,"0","0"
6,"11",10,"2018",22,5,"1","2"
5,"28",4,"2018",1,10,"1","2"
6,"23",3,"2016",7,22,"2","2"
2,"30",1,"2019",16,24,"2","2"
3,"25",6,"2018",2,5,"0","1"
6,"27",8,"2018",14,3,"0","3"
2,"2",1,"2019",21,5,"0","3"
3,"11",5,"2018",11,15,"2","0"
6,"22",3,"2017",17,19,"2","0"
5,"28",3,"2017",13,16,"0","0"
6,"23",9,"2017",10,5,"2","3"
3,"24",4,"2017",13,3,"4","0"
6,"22",10,"2015",10,3,"3","4"
3,"30",10,"2015",5,11,"0","0"
6,"16",9,"2017",7,24,"1","1"
3,"19",7,"2017",24,17,"2","0"
2,"3",6,"2016",10,28,"2","0"
4,"23",8,"2017",5,7,"4","1"
3,"13",1,"2019",4,22,"2","1"
4,"2",7,"2015",1,3,"2","0"
3,"5",6,"2017",2,23,"0","4"
3,"26",6,"2017",2,25,"1","0"
2,"27",4,"2017",18,11,"0","0"
3,"6",5,"2016",22,3,"1","3"
6,"30",9,"2017",12,5,"0","4"
4,"26",4,"2016",6,2,"1","1"
3,"4",4,"2016",5,17,"5","0"
2,"13",1,"2016",22,16,"3","3"
3,"20",1,"2019",12,13,"0","3"
3,"18",8,"2015",6,20,"0","3"
6,"25",10,"2018",3,11,"2","2"
3,"24",3,"2016",23,20,"0","0"
2,"17",2,"2017",13,18,"3","1"
3,"13",2,"2018",24,3,"1","2"
6,"24",9,"2016",3,11,"1","0"
3,"5",6,"2017",26,7,"2","0"
3,"6",7,"2016",3,23,"1","2"
7,"6",6,"2018",6,4,"4","1"
7,"11",4,"2018",11,6,"2","2"
4,"21",1,"2019",14,5,"1","2"
7,"30",8,"2018",5,13,"0","1"
6,"24",9,"2016",23,2,"2","3"
3,"10",4,"2017",5,19,"5","1"
6,"8",3,"2017",19,7,"1","2"
4,"25",9,"2017",15,22,"1","0"
3,"4",4,"2016",3,7,"4","3"
3,"14",6,"2016",3,19,"1","3"
3,"3",1,"2016",2,4,"0","3"
6,"27",10,"2016",1,23,"1","1"
6,"12",10,"2017",20,8,"4","3"
3,"21",2,"2017",8,3,"1","1"
1,"21",3,"2016",10,6,"3","1"
6,"23",1,"2016",27,7,"4","5"
6,"11",10,"2018",6,15,"2","0"
3,"13",1,"2019",11,3,"2","0"
6,"5",2,"2018",15,16,"1","0"
3,"25",8,"2015",16,13,"0","0"
1,"15",4,"2016",5,26,"3","0"
1,"31",1,"2019",1,2,"1","1"
3,"3",4,"2017",8,24,"1","0"
6,"1",3,"2017",26,10,"2","1"
3,"20",1,"2019",22,21,"3","0"
3,"26",7,"2017",16,15,"1","0"
3,"20",10,"2017",19,20,"1","0"
6,"21",3,"2018",6,2,"0","0"
3,"11",5,"2018",22,1,"3","0"
6,"20",8,"2018",10,5,"0","1"
6,"1",9,"2018",15,14,"2","2"
2,"1",6,"2017",24,8,"1","0"
3,"1",1,"2017",6,5,"1","4"
6,"7",3,"2018",8,22,"1","2"
6,"30",9,"2017",3,8,"0","0"
3,"20",5,"2016",6,19,"1","2"
7,"15",1,"2019",13,9,"3","0"
3,"25",6,"2018",18,12,"1","2"
3,"24",1,"2016",10,13,"2","2"
5,"20",3,"2018",8,1,"0","0"
6,"25",10,"2018",20,10,"3","1"
1,"29",4,"2016",1,5,"1","4"
3,"23",4,"2018",21,16,"1","5"
3,"12",6,"2017",23,1,"0","4"
3,"2",4,"2018",20,5,"4","2"
3,"20",4,"2015",4,23,"3","1"
6,"7",2,"2016",28,22,"0","0"
3,"21",2,"2017",1,19,"0","1"
2,"13",1,"2016",3,10,"1","3"
6,"8",10,"2015",11,6,"2","2"
2,"5",4,"2018",15,2,"3","1"
6,"30",3,"2016",18,10,"0","3"
3,"2",9,"2018",21,20,"2","3"
3,"4",6,"2018",8,17,"1","1"
6,"28",8,"2017",7,12,"3","0"
3,"20",7,"2016",23,26,"3","0"
3,"16",4,"2018",2,8,"1","0"
6,"19",10,"2017",24,18,"0","1"
3,"7",2,"2017",17,11,"1","0"
3,"20",4,"2015",6,7,"3","0"
4,"25",3,"2016",8,17,"4","0"
4,"5",5,"2018",13,4,"1","0"
3,"13",4,"2015",23,6,"0","1"
6,"30",3,"2016",19,23,"1","1"
2,"30",1,"2019",14,15,"4","2"
3,"22",7,"2015",13,7,"1","4"
3,"30",4,"2018",2,4,"0","1"
6,"27",10,"2016",6,20,"1","3"
6,"11",10,"2018",3,21,"2","0"
6,"15",9,"2018",3,8,"4","2"
3,"1",2,"2016",17,7,"3","1"
6,"13",10,"2016",11,5,"1","1"
6,"17",8,"2015",1,8,"2","2"
6,"6",8,"2018",15,10,"1","0"
3,"27",7,"2016",17,2,"5","4"
4,"30",7,"2015",7,17,"1","0"
6,"27",8,"2018",6,12,"3","0"
6,"26",10,"2017",12,1,"0","0"
3,"30",3,"2017",2,24,"0","2"
6,"1",3,"2017",16,18,"0","0"
2,"1",6,"2017",23,5,"0","0"
6,"15",3,"2017",19,26,"3","1"
6,"3",8,"2015",23,10,"2","2"
6,"1",8,"2016",6,3,"2","2"
3,"17",4,"2017",18,16,"1","2"
6,"14",3,"2018",12,6,"1","0"
3,"11",7,"2018",22,3,"2","1"
4,"14",5,"2016",28,5,"0","2"
3,"7",6,"2016",28,27,"2","0"
3,"29",7,"2015",3,11,"3","3"
6,"16",3,"2016",27,23,"0","3"
6,"16",9,"2017",3,15,"2","1"
6,"22",9,"2018",14,6,"1","1"
6,"21",8,"2017",13,24,"3","0"
3,"20",7,"2016",19,3,"0","1"
4,"30",7,"2015",27,20,"1","1"
3,"23",4,"2018",4,8,"0","1"
6,"22",8,"2016",8,2,"3","1"
2,"17",2,"2017",20,23,"2","0"
3,"19",5,"2017",5,1,"2","1"
6,"7",7,"2015",3,22,"0","1"
3,"7",8,"2018",14,20,"1","5"
3,"15",8,"2017",15,11,"1","1"
3,"14",10,"2016",13,23,"2","1"
6,"8",10,"2015",27,2,"1","3"
4,"7",2,"2018",20,24,"5","0"
3,"11",6,"2018",19,15,"1","1"
7,"23",8,"2018",20,8,"3","1"
3,"17",4,"2017",13,5,"4","1"
3,"3",1,"2016",27,1,"1","0"
1,"4",1,"2018",20,4,"2","2"
6,"18",7,"2017",20,5,"2","0"
6,"28",3,"2018",7,19,"0","0"
1,"15",4,"2016",18,17,"3","1"
6,"24",6,"2018",8,19,"1","1"
6,"25",7,"2017",10,8,"1","1"
6,"15",8,"2016",3,26,"6","1"
6,"23",3,"2016",13,19,"4","0"
4,"29",10,"2016",13,10,"3","1"
4,"6",5,"2017",23,13,"0","2"
5,"20",3,"2018",24,4,"1","2"
6,"22",8,"2016",20,25,"0","0"
6,"5",4,"2015",19,13,"2","0"
3,"14",6,"2016",4,22,"5","1"
6,"23",4,"2017",20,7,"3","3"
7,"31",8,"2017",24,22,"1","0"
7,"6",4,"2016",25,26,"1","0"
2,"1",6,"2017",17,1,"2","1"
3,"16",8,"2016",2,10,"0","1"
3,"12",5,"2017",11,18,"3","0"
6,"11",10,"2018",16,8,"2","1"
6,"15",10,"2015",23,27,"1","3"
3,"28",10,"2016",26,16,"0","1"
3,"4",5,"2018",1,19,"0","0"
4,"17",4,"2018",7,16,"3","1"
3,"17",1,"2016",4,11,"3","3"
4,"4",3,"2016",16,11,"1","0"
3,"2",4,"2018",2,24,"2","0"
3,"25",7,"2018",16,2,"0","0"
6,"22",8,"2016",26,19,"0","2"
4,"5",6,"2018",7,5,"2","2"
3,"7",6,"2016",22,18,"1","0"
3,"20",5,"2016",4,10,"2","2"
2,"1",6,"2017",7,4,"1","1"
1,"3",5,"2016",7,13,"3","0"
1,"14",1,"2016",5,8,"0","1"
3,"11",7,"2018",4,11,"0","0"
1,"3",1,"2019",3,6,"3","3"
2,"29",7,"2017",18,22,"2","2"
3,"26",6,"2017",18,3,"2","1"
4,"28",7,"2016",16,10,"1","1"
3,"6",7,"2016",24,2,"3","2"
3,"28",8,"2018",8,10,"1","1"
4,"4",1,"2016",11,5,"1","1"
6,"6",8,"2018",24,12,"1","1"
4,"7",5,"2016",18,16,"1","0"
6,"6",2,"2017",26,23,"0","2"
3,"7",6,"2016",5,6,"1","0"
3,"14",1,"2018",3,20,"2","1"
7,"2",1,"2018",8,12,"3","0"
2,"2",1,"2019",20,14,"4","1"
6,"21",8,"2017",4,6,"4","2"
3,"24",4,"2017",1,12,"1","1"
6,"24",9,"2016",17,13,"1","3"
6,"29",10,"2015",28,23,"2","2"
1,"27",4,"2018",6,4,"1","2"
3,"13",2,"2018",1,13,"0","1"
3,"26",7,"2017",5,18,"1","1"
6,"8",10,"2015",3,28,"0","1"
6,"27",8,"2018",7,21,"4","1"
6,"16",3,"2016",11,1,"1","1"
7,"15",5,"2016",8,22,"1","0"
6,"7",2,"2016",2,19,"2","1"
1,"3",1,"2019",12,24,"1","2"
3,"10",4,"2017",22,8,"2","3"
1,"27",4,"2018",7,22,"4","0"
6,"13",2,"2017",23,17,"0","2"
2,"3",1,"2018",10,18,"2","1"
3,"10",4,"2017",1,20,"1","1"
3,"31",4,"2017",2,13,"0","0"
3,"5",5,"2017",18,2,"0","2"
3,"15",2,"2016",1,2,"4","1"
3,"22",7,"2015",11,28,"4","0"
7,"29",4,"2015",11,19,"3","4"
5,"2",5,"2018",20,13,"0","3"
3,"21",10,"2016",8,20,"0","0"
6,"26",9,"2015",5,13,"4","1"
1,"27",4,"2018",2,21,"0","0"
2,"3",6,"2016",16,19,"3","0"
3,"1",8,"2017",20,15,"2","0"
3,"30",4,"2018",14,12,"1","0"
3,"28",6,"2016",18,2,"3","2"
3,"14",1,"2018",4,8,"0","0"
4,"15",2,"2017",5,16,"2","1"
3,"16",4,"2018",1,20,"3","2"
3,"19",7,"2017",2,11,"2","2"
3,"17",1,"2016",13,2,"4","0"
3,"18",5,"2018",3,18,"2","1"
4,"9",2,"2016",13,20,"2","2"
3,"20",9,"2015",5,2,"1","0"
7,"29",4,"2015",6,5,"1","2"
6,"29",9,"2018",9,1,"2","0"
3,"6",5,"2016",2,7,"1","2"
6,"13",2,"2017",11,6,"1","0"
1,"14",4,"2017",7,18,"0","0"
3,"31",4,"2017",3,11,"2","1"
3,"4",6,"2018",15,10,"3","1"
6,"7",3,"2018",6,24,"1","2"
6,"2",3,"2016",20,6,"4","0"
4,"23",1,"2017",4,26,"2","0"
6,"20",8,"2018",22,15,"0","1"
3,"1",7,"2015",6,10,"2","0"
1,"2",6,"2017",10,13,"0","4"
6,"3",7,"2018",3,16,"1","2"
6,"24",8,"2015",10,4,"2","1"
6,"26",9,"2015",8,20,"2","5"
6,"7",2,"2016",3,18,"1","1"
3,"13",10,"2017",15,13,"0","2"
3,"21",1,"2018",13,22,"3","1"
6,"19",9,"2015",17,11,"0","0"
7,"3",1,"2017",23,7,"2","2"
4,"30",3,"2018",16,20,"2","1"
7,"3",1,"2017",18,26,"3","1"
3,"11",5,"2018",20,6,"3","0"
2,"14",4,"2016",11,20,"2","1"
6,"1",3,"2017",4,2,"1","2"
3,"16",4,"2018",9,3,"2","0"
6,"15",10,"2015",6,18,"0","0"
3,"4",8,"2015",11,7,"1","1"
3,"3",1,"2016",16,17,"2","1"
4,"8",8,"2018",7,13,"0","0"
6,"17",8,"2015",2,10,"1","3"
1,"14",1,"2016",1,6,"2","0"
3,"21",2,"2017",16,2,"2","0"
3,"6",5,"2016",6,8,"0","1"
6,"22",9,"2018",8,12,"3","1"
6,"29",3,"2017",1,26,"0","0"
3,"5",6,"2017",1,10,"1","3"
3,"22",8,"2017",11,20,"2","5"
3,"5",5,"2017",6,1,"3","4"
6,"1",3,"2017",24,5,"0","2"
1,"21",3,"2016",16,2,"2","0"
7,"3",1,"2017",13,24,"2","1"
3,"20",4,"2015",11,8,"2","3"
6,"22",10,"2015",23,17,"1","1"
3,"13",2,"2018",2,18,"2","0"
4,"21",5,"2016",5,3,"3","0"
6,"10",9,"2016",10,6,"2","4"
3,"26",7,"2017",22,6,"0","3"
7,"29",4,"2015",18,22,"1","0"
3,"25",6,"2018",16,4,"2","1"
6,"28",3,"2018",24,15,"0","0"
2,"29",7,"2017",15,2,"0","0"
3,"16",9,"2018",9,24,"1","0"
3,"5",6,"2017",11,3,"6","3"
7,"29",4,"2015",10,1,"2","1"
4,"7",2,"2018",4,7,"1","0"
6,"9",3,"2016",6,11,"1","1"
3,"2",3,"2017",17,25,"0","0"
3,"9",10,"2015",4,17,"2","2"
3,"17",1,"2016",3,27,"3","0"
7,"2",1,"2018",11,16,"0","2"
3,"16",8,"2016",25,6,"0","1"
4,"5",7,"2018",4,2,"3","1"
7,"24",7,"2015",2,23,"0","1"
2,"3",1,"2018",1,2,"1","2"
2,"13",4,"2017",2,6,"2","1"
3,"9",3,"2017",23,16,"0","3"
6,"20",10,"2016",5,2,"1","0"
6,"19",10,"2017",8,15,"2","0"
3,"8",3,"2018",20,1,"3","2"
3,"10",9,"2017",19,16,"2","2"
3,"7",6,"2016",17,2,"1","1"
3,"3",4,"2017",11,12,"2","0"
2,"30",1,"2019",12,11,"0","1"
3,"14",6,"2016",11,18,"0","1"
4,"28",10,"2017",7,20,"4","0"
7,"1",2,"2018",5,6,"2","0"
3,"13",1,"2019",15,7,"0","1"
5,"29",4,"2017",2,20,"2","3"
3,"6",5,"2016",1,23,"1","1"
1,"6",3,"2017",4,13,"2","1"
6,"10",7,"2018",21,15,"2","1"
3,"9",4,"2018",10,2,"3","2"
1,"5",1,"2017",5,4,"2","0"
3,"5",7,"2017",1,24,"0","1"
3,"31",4,"2017",12,24,"0","0"
2,"3",6,"2016",23,13,"0","1"
4,"27",10,"2018",14,24,"4","2"
3,"23",4,"2018",22,14,"0","0"
1,"31",1,"2019",7,8,"1","1"
3,"23",4,"2018",12,1,"1","3"
6,"1",8,"2016",10,25,"1","1"
6,"22",9,"2018",7,1,"3","0"
6,"30",9,"2017",16,2,"4","0"
6,"18",10,"2018",8,9,"2","0"
6,"23",3,"2016",3,4,"1","4"
7,"16",1,"2018",16,19,"3","0"
4,"1",1,"2018",18,20,"1","1"
2,"2",5,"2016",28,11,"1","3"
3,"7",8,"2018",1,4,"0","3"
3,"18",9,"2016",11,25,"3","1"
3,"13",5,"2016",19,1,"1","2"
3,"12",6,"2017",16,6,"2","0"
1,"6",4,"2018",9,4,"2","1"
1,"3",1,"2019",9,2,"0","2"
3,"15",2,"2016",17,13,"1","1"
6,"20",1,"2018",15,4,"0","4"
6,"29",8,"2016",6,26,"1","0"
6,"12",9,"2015",11,4,"3","1"
3,"16",10,"2015",2,20,"1","2"
4,"31",4,"2018",16,3,"4","1"
6,"19",9,"2015",4,20,"2","0"
2,"5",4,"2018",6,13,"1","2"
6,"10",9,"2016",19,5,"0","4"
7,"15",4,"2015",8,4,"2","1"
3,"15",2,"2016",11,27,"3","0"
6,"21",8,"2017",12,16,"2","1"
3,"31",4,"2017",22,15,"0","0"
3,"1",8,"2017",4,13,"0","1"
