Korean,Team,index
아스널,Arsenal,0
애스턴 빌라,Aston Villa,1
,Birmingham,2
블랙번,Blackburn,3
블랙풀,Blackpool,4
볼턴,Bolton,5
본머스,Bournemouth,6
브라이튼,Brighton,7
번리,Burnley,8
카디프,Cardiff,9
첼시,Chelsea,10
크리스탈 팰리스,Crystal Palace,11
에버턴,Everton,12
풀럼,Fulham,13
허더즈필드,Huddersfield,14
,Hull,15
레스터,Leicester,16
리버풀,Liverpool,17
맨시티,Man City,18
맨유,Man United,19
미들즈브로,Middlesbrough,20
뉴캐슬,Newcastle,21
노리치,Norwich,22
포츠머스,Portsmouth,23
QPR,QPR,24
,Reading,25
사우샘프턴,Southampton,26
스토크,Stoke,27
선더랜드,Sunderland,28
스완지,Swansea,29
토트넘,Tottenham,30
왓포드,Watford,31
웨스트브로미치,West Brom,32
웨스트햄,West Ham,33
위건,Wigan,34
울브스,Wolves,35